ลำดับ,เลขทะเบียนโรงงาน,ชื่อโรงงาน,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงาน,แรงม้า
1856,จ3-105-2/52พล,ห้างหุ้นส่วนจำกัด ป.ปราพานิช,คัดแยกสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษกระดาษ เศษพลาสติก เศษโลหะ,เลขที่ 442,11,,,หนองพระ,วังทอง,พิษณุโลก,65130.0,,600000,10,0.0
1857,จ3-105-46/50พล,บริษัท ท่าทองรีไซเคิล (2007) จำกัด,คัดแยก เก็บรวบรวม วัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย เช่นเศษโลหะ กระดาษ พลาสติก ขวดแก้ว และอัดเศษโลหะ บดย่อยพลาสติก,เลขที่ 247/30,10,,,ท่าทอง,เมืองพิษณุโลก,พิษณุโลก,65000.0,,14800000,12,169.0
1858,3-105-67/49พจ,บริษัท เคยใหม่ รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย อัดเศษโลหะ เศษกระดาษ และบดย่อยพลาสติก,เลขที่ 145,5, -,ตะพานหิน-พิจิตร,ห้วยเกตุ,ตะพานหิน,พิจิตร,66110.0,,3250000,4,152.0
1859,น.106-2/2561-ญนจ.,บริษัท ศแบงยั่งยืน อุบล จำกัด,ผลิตเชื้อเพลิงแข็ง(SolidRecoveredFuel:SRF)จากขยะอุตสาหกรรมที่ไม่เป็นอันตรายและผลิตเม็ดพลาสติกจากพลาสติกที่ผ่านการใช้งานแล้ว,เลขที่ -,,-,-,หนองหลุม,วชิรบารมี,พิจิตร,66220.0,-,0,0,0.0
1860,น.106-3/2561-ญนจ.,บริษัท แอล.เอส. อิโค่เทคโนโลยี จำกัด,สกัดโลหะสังกะสีจากน้ำยาชุบโลหะกากตะกอนที่มีองค์ประกอบของสังกะสีจากระบบบำบัดน้ำเสียและฝุ่นจากระบบบำบัดอากาศที่มีสังกะสีเป็นองค์ประกอบ,เลขที่ -,,-,-,หนองหลุม,วชิรบารมี,พิจิตร,66200.0,-,0,0,0.0
1861,3-101-6/47พช,บริษัท โกลเด้น ไลน์ บิสซิเนส จำกัด,บำบัดน้ำเสียรวม,เลขที่ 99,4,-,นครสวรรค์-ชัยภูมิ,กันจุ,บึงสามพัน,เพชรบูรณ์,67160.0,,1803781500,30,189.0
1862,3-105-1/45พช,บริษัท เอกอุทัย จำกัด,การคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เลขที่ 39,4,,,คลองกระจัง,ศรีเทพ,เพชรบูรณ์,67170.0,056-713993,6000000,6,440.0
1863,3-105-25/49พช,ห้างหุ้นส่วนจำกัด แก้วจำลอง,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เฉพาะเศษโลหะ เศษกระดาษ เศษพลาสติก เศษแก้ว และอัดเศษโลหะ อัดเศษกระดาษ บดย่อยพลาสติก และขวดแก้ว,เลขที่ 53/3,3, -,สระบุรี-หล่มสัก,พุขาม,วิเชียรบุรี,เพชรบูรณ์,67180.0,,40000000,98,393.0
1864,จ3-105-135/51พช,ห้างหุ้นส่วนจำกัด ทับทิมดีรีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,เลขที่ 88,8,,สระบุรี-หล่มสัก,บ้านโตก,เมืองเพชรบูรณ์,เพชรบูรณ์,67000.0,081-8871783,19300000,9,370.0
1865,3-101-1/39รบ,บริษัท ผลิตภัณฑ์กระดาษไทย จำกัด,บำบัดน้ำเสียรวม,เลขที่ 19,19,,แสงชูโต,ท่าผา,บ้านโป่ง,ราชบุรี,70110.0,032-200746,940000000,15,8297.87
1866,3-105-10/47รบ,บริษัท สุวรรณภูมิ เอ็นจิเนียริ่ง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไวในหมวด 1 ข้อ 1 ของภาคผวกที่ 1 ของบญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบบที่ 1 (พ.ศ.2541) อัดเศษกระดาษ และนำน้ำมันเครื่องใช้แล้วมาผลิตเป็นเชื้อเพลิงทดแทน น้ำมันผสมยางและน้ำมันน้ำมันหยอดทิ้ง,เลขที่ 105/5,3,-,ห้วยยางโทน-ปากท่อ,ห้วยยางโทน,ปากท่อ,ราชบุรี,70140.0,,24000000,34,1686.0
1867,3-105-108/59รบ,ห้างหุ้นส่วนจำกัด จ่าเลิศรีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 43,7,-,-,วังมะนาว,ปากท่อ,ราชบุรี,70140.0,0 3273 7569,1650000,5,455.0
1868,3-105-122/60รบ,วงษ์พาณิชย์ อุตสาหกรรมราชบุรี,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และทำเชื้อเพลิงแข็ง ,เลขที่ 100,9,,,ดอนทราย,โพธาราม,ราชบุรี,70120.0,09 2248 4744,17000000,10,395.0
1869,3-105-14/47รบ,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),ฝังกลบสิ่งปฏิกูลและวัสดุที่ไม่ใช้แล้วที่เป็นของเสียอันตราย และไม่อันตราย,เลขที่ ,8,-,-,หินกอง,เมืองราชบุรี,ราชบุรี,70000.0,0 1210 1689,393306000,10,275.5
1870,3-105-18/54รบ,นางสาวศิริมาศ คงสว่าง,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษพลาสติก เศษกระดาษ เศษยาง เศษโลหะต่างๆ,เลขที่ 120,3,-,-,ท่าราบ,เมืองราชบุรี,ราชบุรี,70000.0,081-7635587,5000000,16,0.0
1871,3-105-19/54รบ,นางสาวอุษา เงินโสภา,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษพลาสติก เศษกระดาษ เศษยาง เศษโลหะต่างๆ,เลขที่ โฉนดที่ดินเลขที่ 25541,9,-,-,ดอนทราย,โพธาราม,ราชบุรี,70120.0,,2000000,13,0.0
1872,3-105-24/49รบ,นายวีระศักดิ์ อภิวัฒน์ตั้งสกุล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เฉพาะเศษกระดาษ เศษพลาสติก และเศษเหล็ก,เลขที่ 81,5, -, -,กรับใหญ่,บ้านโป่ง,ราชบุรี,70190.0,,2800000,10,118.0
1873,3-105-28/53รบ,ห้างหุ้นส่วนจำกัด บี เจ รุ่งเรืองทรัพย์,คัคแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 54,7,-,-,คลองตาคต,โพธาราม,ราชบุรี,70120.0,,1000000,10,90.0
1874,3-105-53/60รบ,บริษัท ไทยจงพลาสติก จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 103/1,1,-,-,ดอนทราย,ปากท่อ,ราชบุรี,74000.0,,4800000,23,295.0
1875,3-105-70/61รบ,บริษัท วาสุ รีไซเคิล สมายล์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 52/1,5,,เพชรเกษม,สามเรือน,เมืองราชบุรี,ราชบุรี,70000.0,,6500000,8,166.68
1876,3-105-75/47รบ,ห้างหุ้นส่วนจำกัด บ้านโป่งรีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 29/4,7,-,เลียบคลองชลประทาน,หนองอ้อ,บ้านโป่ง,ราชบุรี,70110.0,01-8571294,8300000,10,105.0
1877,3-105-76/48รบ,บริษัท น้องมังกร รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 104,8, -, -,หนองปลาหมอ,บ้านโป่ง,ราชบุรี,70110.0,,4550000,13,113.0
1878,3-105-8/49รบ,ห้างหุ้นส่วนจำกัด ศิริสยาม รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษกระดาษ เศษพลาสติก เศษยางไม้ โลหะ ขวดแก้ว เศษแก้ว,เลขที่ 149,11, -, -,นครชุมน์,บ้านโป่ง,ราชบุรี,70110.0,,6200000,5,120.0
1879,3-105-80/60รบ,บริษัท โชติอนันต์ ๙๙ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 14475,4,,,ปากแรต,บ้านโป่ง,ราชบุรี,70110.0,09 7194 5559,5000000,7,3.0
1880,3-106-1/46รบ,บริษัท แวกซ์ กาเบ็จ รีไซเคิล เซ็นเตอร์ จำกัด,นำของเสียหรือผลิตภัณฑ์ที่ไม่ใช้แล้วที่เป็นเคมีภัณฑ์ ได้แก่ สารลดแรงตึงผิวเข้มข้น (Off-specification Surfactants) มารีไซเคิลเป็นน้ำยาล้างรถหรือน้ำยาล้างพื้น นำของเสียที่ไม่ใช้แล้วตามประกาศกระทรวง ฯ ฉบับที่ 1 (พ.ศ.2541) มาผลิตเป็นอิฐบล็อคตัวหนอน,เลขที่ 83,8,-,-,รางบัว,จอมบึง,ราชบุรี,70150.0,(032)261691-9,43000000,5,74.0
1881,3-106-10/47รบ,บริษัท แวกซ์ กาเบ็จ รีไซเคิล เซ็นเตอร์ จำกัด,รีไซเคิลน้ำยาล้างฟิล์ม และน้ำยาชุบโลหะทุกชนิด,เลขที่ 54/1,8,-,-,รางบัว,จอมบึง,ราชบุรี,70150.0,(032) 228-144-5,2350000,4,20.6
1882,3-106-14/48รบ,บริษัท วาสินีอุตสาหกรรม จำกัด,นำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วมาผลิตเป็นผลิตภัณฑ์ใหม่ โดยผ่านกรรมวิธีการผลิตทางอุตสาหกรรม เช่น การผลิตเฟอร์ริก คลอไรด์ คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ -,11,-,-,หินกอง,เมืองราชบุรี,ราชบุรี,70000.0,0 1840 9574,4300000,13,138.0
1883,3-106-14/52รบ,ห้างหุ้นส่วนจำกัด สิริสมหมายโลหะกิจ,ล้างบรรจุภัณฑ์ด้วยตัวทำละลาย,เลขที่ -,7,-,บ้านหนองกวาง-บ้านหนองตรึง,หนองกวาง,โพธาราม,ราชบุรี,70120.0,,190000,5,9.5
1884,3-106-15/49รบ,น้ำมันไทย,ทำน้ำมันผสมสีทาบ้านจากน้ำมันเครื่องเก่าที่ผ่านการใช้งานแล้ว ซ่อมถังบรรจุน้ำมัน สารเคมี คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นสารอันตราย เช่น เศษกระดาษ เศษพลาสติก เศษโลหะ,เลขที่ 101,3, -, -,น้ำพุ,เมืองราชบุรี,ราชบุรี,70000.0,0 2420 3117,13400000,3,948.6
1885,3-106-2/46รบ,บริษัท แวกซ์ กาเบ็จ รีไซเคิล เซ็นเตอร์ จำกัด,รับวัสดุเหลือใช้และเคมีภัณฑ์ที่ไม่ใช้แล้วมารีไซเคิลผลิตเป็นผลิตภัณฑ์ใหม่ เช่น สีทาบ้าน สีน้ำมัน น้ำมันทาแบบ และเชื้อเพลิงทดแทน,เลขที่ 83,8,-,-,รางบัว,จอมบึง,ราชบุรี,70150.0,032-711131-2,12000000,6,245.0
1886,3-106-25/57รบ,นายนพดล,ผลิตเชื้อเพลิงทดแทนจากยางรถยนต์,"เลขที่ โฉนดที่ดินเลขที่ 33468,33469,1774",5,,,ดอนทราย,โพธาราม,ราชบุรี,70120.0,,17800000,40,199.0
1887,3-106-3/46รบ,บริษัท แวกซ์ กาเบ็จ รีไซเคิล เซ็นเตอร์ จำกัด,คัดแยกและรีไซเคิล เศษวัสดุอุปกรณ์อีเล็กทรอนิกส์,เลขที่ 54/1,8,-,-,รางบัว,จอมบึง,ราชบุรี,70150.0,(032) 228-144-5,3500000,7,90.5
1888,3-106-35/52รบ,เอว่า ราชบุรี,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้ว,เลขที่ 54,11,-,-,ท่าผา,บ้านโป่ง,ราชบุรี,70110.0,,12500000,8,185.0
1889,3-106-4/46รบ,บริษัท แวกซ์ กาเบ็จ รีไซเคิล เซ็นเตอร์ จำกัด,ซ่อมและล้างถังด้วยตัวทำละลาย,เลขที่ 54/1,8,-,-,รางบัว,จอมบึง,ราชบุรี,70150.0,(032) 228-144-5,10000000,11,82.5
1890,3-106-44/60รบ,บริษัท สยามคราฟท์อุตสาหกรรม จำกัด,นำวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายมาเป็นวัตถุดิบเพื่อผลิตเป็นอิฐ,เลขที่ 19,19,-,แสงชูโต,ท่าผา,บ้านโป่ง,ราชบุรี,70110.0,0 3233 9800-20,96000000,13,797.04
1891,3-106-79/60รบ,บริษัท โกลบอล สตีล ดัสท์ (ประเทศไทย) จำกัด,รีไซเคิลฝุ่นจากเตาหลอมอาร์คไฟฟ้า (ฝุ่นแดง),เลขที่ -,8,,,หินกอง,เมืองราชบุรี,ราชบุรี,70000.0,08 1819 3128,1000000000,25,21933.82
1892,จ3-105-196/51รบ,ชินสีห์ไซเคิล,"คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่ใช่วัตถุอันตราย เช่น โลหะ,กระดาษ,พลาสติก เป็นต้น",เลขที่ 159/18,7,-,-,อ่างทอง,เมืองราชบุรี,ราชบุรี,70000.0,0-3230-0292,10000000,10,91.0
1893,จ3-105-207/50รบ,ตั้งเฮงเจริญ,คัดแยกสิ่งปฏิกูลและวัสดุที่ไม่ใช้แล้วเฉพาะส่วนที่มีองค์ประกอบหรือคุณลักษณะไม่เป็นอันตราย,เลขที่ 84/3,12,-,-,ท่าผา,บ้านโป่ง,ราชบุรี,70110.0,0-3226-8262,3400000,15,10.0
1894,จ3-105-208/50รบ,ห้างหุ้นส่วนจำกัด โพธารามรวมทรัพย์,คัดแยกวัสดุที่ไม่ใช้แล้วจากโรงงานเฉพาะที่ไม่ใช่ชนิดอันตราย,เลขที่ 70/1,5,-,-,บ้านสิงห์,โพธาราม,ราชบุรี,70120.0,-,3100000,3,270.0
1895,จ3-105-215/51รบ,นายสมศักดิ์ พิสิฐกานต์กุล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วชนิดที่ไม่อันตราย เช่น เศษแป้ง เศษอาหาร ที่ไม่ใช้แล้ว,เลขที่ 1/2,9,-,-,ดอนใหญ่,บางแพ,ราชบุรี,70160.0,-,1650000,4,73.0
1896,จ3-105-222/50รบ,บริษัท ไชน่าอีสต์ รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และบดย่อยเศษพลาสติก,เลขที่ 157,5,-,-,กรับใหญ่,บ้านโป่ง,ราชบุรี,70190.0,-,6000000,20,46.0
1897,จ3-105-236/51รบ,ต้าพาโชค,"คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่ใช่วัตถุอันตราย เช่น โลหะ,กระดาษ,พลาสติก เป็นต้น",เลขที่ 186,9,-,-,ปากแรต,บ้านโป่ง,ราชบุรี,70110.0,0-3220-1483,15000000,5,56.0
1898,จ3-105-28/52รบ,บริษัท เอส.ซี.ออยล์ อินเตอร์ เซอร์วิส จำกัด,"คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่ใช่วัสดุอันตรายจากโรงงานอุตสาหกรรม เช่น เศษพลาสติก,เศษกระดาษฯ",เลขที่ 91/1,11,-,-,ทุ่งหลวง,ปากท่อ,ราชบุรี,70140.0,0-3486-5596,5250000,11,90.0
1899,จ3-105-46/52รบ,บริษัท รวยพูนทรัพย์ จำกัด,"คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่ใช่วัตถุอันตราย เช่น โลหะ,กระดาษ,พลาสติก เป็นต้น",เลขที่ 32/2,5,-,-,ดอนทราย,ปากท่อ,ราชบุรี,70140.0,089 8376605,5750000,10,47.0
1900,จ3-105-50/51รบ,นายสุชาติ ต้อมคำ,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ชนิดไม่อันตราย,เลขที่ 25/3,15,-,-,ท่าผา,บ้านโป่ง,ราชบุรี,70110.0,-,5900000,9,40.0
1901,จ3-105-57/52รบ,บริษัท ส.จรัสแสง จำกัด,"คัดแยกสิ่งปฏิกูล หรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย เช่น โลหะ,กระดาษ,พลาสติก ฯลฯ",เลขที่ 55,3,-,บ้านหัวรอ-บ้านหุบพังพาย,หนองกวาง,โพธาราม,ราชบุรี,70120.0,,16930000,10,298.0
1902,จ3-105-73/51รบ,สมศักดิ์ค้าเหล็ก,"คัดแยกวัสดุที่ไม่ใช้แล้ว,อัดเศษพลาสติก,กระดาษ,โลหะ",เลขที่ ,,-,-,หนองกบ,บ้านโป่ง,ราชบุรี,70110.0,,12000000,11,496.0
1903,น.106-1/2552-นรบ.,บริษัท โปรเกรส อินเตอร์เคม (ประเทศไทย) จำกัด,รีไซเคิลน้ำมันหล่อลื่นใช้แล้ว น้ำมันเตาปนเปื้อน และยางหรือพลาสติกใช้แล้ว,เลขที่ 155/42,4,,เพชรเกษม,เจ็ดเสมียน,โพธาราม,ราชบุรี,70120.0,,0,16,96.5
1904,3-101-1/39กจ,บริษัท สยามคราฟท์ อุตสาหกรรม จำกัด,ปรับคุณภาพของเสียรวม,เลขที่ 99,6,,แสงชูโต,วังศาลา,ท่าม่วง,กาญจนบุรี,71130.0,(034)561440,1690000000,40,8040.85
1905,3-101-1/40กจ,บริษัท น้ำตาลรางกระต่าย จำกัด,โรงงานปรับคุณภาพของเสียรวม,เลขที่ 99,9,,,ตะคร้ำเอน,ท่ามะกา,กาญจนบุรี,71130.0,561188,370000000,8,120.0
1906,3-101-1/46กจ,บริษัท แวนด้า แฟคทอรี่ จำกัด,"บำบัดน้ำเสียรวม ปริมาณบำบัดสูงสุด 2,000 ลูกบาศก์เมตรต่อวัน",เลขที่ ,7,-,-,แสนตอ,ท่ามะกา,กาญจนบุรี,71130.0,034-542634-7,18000000,14,100.0
1907,3-105-102/60กจ,บริษัท ลี ฟุง รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษทองแดง เศษอลูมิเนียม เศษเหล็ก เศษพลาสติก ปลอกสายไฟ และหลอมโลหะมีค่าจากตะกรันหรือตะกอนทองแดง แผ่นพีซีบี เป็นต้น,เลขที่ 8,18,,,รางหวาย,พนมทวน,กาญจนบุรี,71170.0,,13000000,33,1029.0
1908,3-105-50/53กจ,นายยุทธนา เมืองเสือ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 52/3,1,-,-,หนองลาน,ท่ามะกา,กาญจนบุรี,71130.0,089 8068284,600000,7,18.0
1909,3-105-53/47กจ,ห้างหุ้นส่วนจำกัด โชคประมวลบริการ,ฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ ,8,-,-,บ้านใหม่,ท่าม่วง,กาญจนบุรี,71110.0,01-8585676,7500000,2,450.0
1910,3-105-56/59กจ,ห้างหุ้นส่วนจำกัด ดับบลิวเจ อินดัสเทรียล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 111/1,2,-,แสงชูโต (สายเก่า),วังศาลา,ท่าม่วง,กาญจนบุรี,71130.0,,1650000,7,48.5
1911,3-105-77/60กจ,ห้างหุ้นส่วนจำกัด อิฐทรัพย์บวร,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 4,8,,,พังตรุ,ท่าม่วง,กาญจนบุรี,71110.0,08 8906 4493,2750000,12,62.91
1912,3-106-13/59กจ,บริษัท ไบโอเทค อินดัสทรีส์ จำกัด,ทำน้ำมันเชื้อเพลิงทดแทนจากยางรถยนต์ และพลาสติกใช้แล้ว,เลขที่ -,6,-,-,กลอนโด,ด่านมะขามเตี้ย,กาญจนบุรี,10240.0,,29000000,50,1759.05
1913,3-106-18/53กจ,บริษัท กาญจนกุล (1995) จำกัด,ทำน้ำมันเชื้อเพลิงทดแทนและน้ำมันเอนกประสงค์จากน้ำมันหล่อลื่นที่ใช้แล้ว โดยผ่านกรรมวิธีทางอุตสาหกรรม,เลขที่ 259/2,11,-,-,หนองขาว,ท่าม่วง,กาญจนบุรี,71110.0,,31200000,8,415.0
1914,3-106-2/54กจ,บริษัท เทพพัฒนา เวสท์ แอนด์ เซอร์วิส จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว ทำเชื้อเพลิงผสม (Blending) จากเศษผ้าปนเปื้อนน้ำมัน วัสดุดูดซับ กากตะกอนน้ำมัน กากสี ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ บดย่อยเศษและตะกรันโลหะ คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดิน 10553,6,-,-,วังไผ่,ห้วยกระเจา,กาญจนบุรี,71170.0,,9000000,12,79.0
1915,3-106-22/56กจ,บริษัท เอสวี ปิโตรเลียม กรุ๊ป จำกัด,ทำน้ำมันเชื้อเพลิงทดแทนจากยางรถยนต์และพลาสติกที่ใช้แล้ว,เลขที่ 88/8,7,-,-,เลาขวัญ,เลาขวัญ,กาญจนบุรี,71210.0,,55080000,20,2504.0
1916,3-106-39/57กจ,บริษัท ตันบริภัณฑ์ จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันพืชที่ใช้แล้ว,เลขที่ 33/2,10,-,-,หนองโสน,เลาขวัญ,กาญจนบุรี,71210.0,,5500000,4,11.9
1917,3-106-45/60กจ,บริษัท ลี ฟุง รีไซเคิล จำกัด,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์และเครื่องใช้ไฟฟ้า,เลขที่ 8,18,,,รางหวาย,พนมทวน,กาญจนบุรี,71170.0,,13000000,33,153.95
1918,จ3-105-190/51กจ,ห้างหุ้นส่วนจำกัด รวมเพื่อนธุรกิจ,คัดแยกวัสดุไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย เช่น ภาชนะใส่วัสดุทั่วไป เศษกระดาษ เศษพลาสติก เศษยาง เศษเหล็ก เศษอลูมิเนียม เศษทองเหลือง เศษทองแดง ฯลฯ,เลขที่ 193/1,5,,,พังตรุ,ท่าม่วง,กาญจนบุรี,71110.0,,1000000,4,90.0
1919,จ3-105-39/51กจ,ห้างหุ้นส่วนจำกัด พงษ์ผึ้งพาณิชย์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น ภาชนะบรรจุวัสดุที่ไม่อันตราย เช่น เศษกระดาษ เศษพลาสติก เศษไม้ เศษยาง เศษเหล็ก เศษอลูมิเนียม เศษทองแดง เศษทองเหลือง ฯลฯ,เลขที่ 68/29,1,,,ท่ามะกา,ท่ามะกา,กาญจนบุรี,71120.0,,2100000,10,0.0
1920,จ3-105-51/51กจ,บริษัท ศรีเจริญสุข เอส โอ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย เช่น ภาชนะใส่วัสดุทั่วไป เศษกระดาษ เศษพลาสติก เศษไม้ เศษยางฯลฯ,เลขที่ 55,3,,เลียบคลองชลประทาน2R ท่าม่วง-ท่ามะกา,ท่าตะคร้อ,ท่าม่วง,กาญจนบุรี,71130.0,,2800000,12,180.0
1921,3-105-78/48สพ,ห้างหุ้นส่วนจำกัด รักดีรีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษกระดาษ อัดเศษโลหะและบดย่อยพลาสติก,เลขที่ 60/1,5,,สุพรรณบุรี-บางแม่หม้าย,บ้านแหลม,บางปลาม้า,สุพรรณบุรี,72150.0,0 3541 2175,600000,10,29.0
1922,3-105-93/49สพ,บริษัท เอส. เอ. สยามรีคัฟเวอรี่ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย สกัดโลหะมีค่าจากแผงวงจรอิเล็กทรอนิกส์และตะกอนน้ำเสียของโรงงานอิเล็กทรอนิกส์ สกัดคอปเปอร์ซัลเฟตจากน้ำยาล้างแผงวงจรอิเล็กทรอนิกส์,เลขที่ 144,3, -, -,บ้านกร่าง,ศรีประจันต์,สุพรรณบุรี,72140.0,08 6304 2952,4100002,19,846.0
1923,3-106-12/60สพ,บริษัท เอ.เอ.บี. ไบโอ เฟอร์ทิไลเซอร์ จำกัด,นำกากตะกอนจากระบบบำบัดน้ำเสียที่ไม่เป็นอันตราย และอินทรีย์วัตถุที่ไม่ใช้แล้วจากโรงงานมาทำเป็นผลิตภัณฑ์ใหม่ เช่น ปุ๋ยอินทรีย์ ปุ๋ยหมัก ,เลขที่ 21/1,5,,,ทัพหลวง,หนองหญ้าไซ,สุพรรณบุรี,72240.0,,6600000,9,373.0
1924,3-106-30/54สพ,บริษัท ไอรอน กรุ๊ป จำกัด,เก็บรวบรวมแบตเตอรี่โดยไม่มีการแปรสภาพ ทำเม็ดพลาสติกเกรด บี คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 241/1,5,-,-,สนามชัย,เมืองสุพรรณบุรี,สุพรรณบุรี,72000.0,034-546050,8000000,30,303.0
1925,3-106-54/53สพ,ห้างหุ้นส่วนจำกัด เอส อาร์ ไอ เมททัล โปรดักส์,หลอมหล่อเศษและตะกรันอลูมิเนียม,เลขที่ 266,6,-,-,สระพังลาน,อู่ทอง,สุพรรณบุรี,72220.0,,6300000,6,68.4
